cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
8387,007778,160.0,2025-07-24,2013-04-30,bank_transfer,unknown,0008046,0007941,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8389,007777,500.0,2025-07-24,2013-04-11,bank_transfer,unknown,0007871,0007854,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8390,007812,350.0,2025-07-24,2013-04-17,bank_transfer,unknown,0007899,0007882,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8391,007871,214.5,2025-07-24,2013-05-01,bank_transfer,unknown,0008046,0007944,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8392,007364,735.0,2025-07-24,2013-04-30,bank_transfer,unknown,0008046,0007943,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8393,007833,125.5,2025-07-24,2013-05-01,bank_transfer,unknown,0008046,0007945,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8394,007811,250.0,2025-07-24,2013-04-17,bank_transfer,unknown,0007898,0007881,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8395,007671,487.5,2025-07-24,2013-04-18,bank_transfer,unknown,0007911,0007897,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8396,007832,115.5,2025-07-24,2013-05-01,bank_transfer,unknown,0008046,0007946,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8397,007817,165.0,2025-07-24,2013-04-17,bank_transfer,unknown,0007905,0007891,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8398,007820,205.0,2025-07-24,2013-04-18,bank_transfer,unknown,0007906,0007892,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8400,007737,382.81,2025-07-24,2013-04-18,bank_transfer,unknown,0007907,0007893,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8401,007824,205.0,2025-07-24,2013-04-18,bank_transfer,unknown,0007908,0007894,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8402,007798,575.5,2025-07-24,2013-04-17,bank_transfer,unknown,0007904,0007890,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
