cp_id,reserve,amount,payment_date,payment_key,category,key_target_info,amount_matches_on_current_reserve
6528,005715,175.0,2025-07-24,0006036,KEY_SINGLE_OTHER,006327,2
6755,006341,906.0,2025-07-24,0006232,KEY_SINGLE_OTHER,006473,2
6796,006318,200.0,2025-07-24,0006278,KEY_SINGLE_OTHER,006497,2
6852,006493,568.53,2025-07-24,0006447,KEY_SINGLE_OTHER,006518,3
6897,006318,200.0,2025-07-24,0006415,KEY_SINGLE_OTHER,006589,2
7088,006710,0.01,2025-07-24,0006597,KEY_SINGLE_OTHER,006708,0
7197,006822,82.5,2025-07-24,0006765,KEY_SINGLE_OTHER,006780,2
7316,006729,160.0,2025-07-24,0006818,KEY_SINGLE_OTHER,006895,2
7344,016843,160.0,2025-07-24,0006831,KEY_SINGLE_OTHER,006897,1
7575,006997,690.0,2025-07-24,0007064,KEY_SINGLE_OTHER,007095,2
7723,006822,82.5,2025-07-24,0007258,KEY_SINGLE_OTHER,007233,2
7789,007282,420.0,2025-07-24,0007279,KEY_SINGLE_OTHER,006958,2
7795,007110,82.5,2025-07-24,0007195,KEY_SINGLE_OTHER,007149,2
7808,007110,82.5,2025-07-24,0007332,KEY_SINGLE_OTHER,007282,2
7812,007282,420.0,2025-07-24,0007280,KEY_SINGLE_OTHER,006713,2
7972,007504,65.0,2025-07-24,0007613,KEY_MULTI_EXCLUDES_SAME,007351|007392|007406|007407|007408|007409|007410|007411,2
8171,007568,682.5,2025-07-24,0007694,KEY_SINGLE_OTHER,007612,2
8226,007568,682.5,2025-07-24,0007739,KEY_SINGLE_OTHER,006946,2
8621,006997,690.0,2025-07-24,0008130,KEY_SINGLE_OTHER,008017,2
8627,007939,357.5,2025-07-24,0008115,KEY_SINGLE_OTHER,008039,2
8844,007939,357.5,2025-07-24,0008102,KEY_SINGLE_OTHER,008026,2
9655,008779,484.69,2025-07-24,0009099,KEY_SINGLE_OTHER,008876,2
9669,008779,250.0,2025-07-24,0009100,KEY_SINGLE_OTHER,008518,2
9671,008779,250.0,2025-07-24,0009101,KEY_SINGLE_OTHER,008519,2
9691,008779,484.69,2025-07-24,0009102,KEY_SINGLE_OTHER,008822,2
9829,008940,160.87,2025-07-24,0009286,KEY_SINGLE_OTHER,009030,2
9849,008940,160.87,2025-07-24,0009285,KEY_SINGLE_OTHER,009010,2
9856,008858,300.0,2025-07-24,0009301,KEY_SINGLE_OTHER,009008,2
10080,009161,250.0,2025-07-24,0009530,KEY_SINGLE_OTHER,009312,3
10150,009161,250.0,2025-07-24,0009614,KEY_SINGLE_OTHER,009391,3
10186,009363,367.5,2025-07-24,0009655,KEY_SINGLE_OTHER,009431,3
10189,009363,367.5,2025-07-24,0009657,KEY_SINGLE_OTHER,009442,3
10191,009363,367.5,2025-07-24,0009656,KEY_SINGLE_OTHER,009441,3
10234,009161,250.0,2025-07-24,0009551,KEY_SINGLE_OTHER,009344,3
10385,009134,90.0,2025-07-24,0009820,KEY_SINGLE_OTHER,009583,2
10396,009134,90.0,2025-07-24,0009819,KEY_SINGLE_OTHER,009582,2
10459,009733,175.0,2025-07-24,0010036,KEY_MULTI_EXCLUDES_SAME,009648|009651|009652|009657|009694|009696|009706,2
10571,009733,175.0,2025-07-24,0010053,KEY_MULTI_EXCLUDES_SAME,009726|009727|009728,2
10607,009734,250.0,2025-07-24,0010030,KEY_SINGLE_OTHER,009770,3
10632,009763,75.0,2025-07-24,0010054,KEY_SINGLE_OTHER,009485,2
10707,009763,75.0,2025-07-24,0010115,KEY_SINGLE_OTHER,009829,2
11209,010060,137.56,2025-07-24,0010576,KEY_SINGLE_OTHER,010299,2
11240,009734,250.0,2025-07-24,0010609,KEY_SINGLE_OTHER,010305,3
11256,010060,137.56,2025-07-24,0010578,KEY_SINGLE_OTHER,010316,2
11339,010061,140.0,2025-07-24,0010689,KEY_SINGLE_OTHER,010395,3
11340,010061,140.0,2025-07-24,0010690,KEY_SINGLE_OTHER,010396,3
11383,010061,140.0,2025-07-24,0010691,KEY_SINGLE_OTHER,010397,3
11862,008858,300.0,2025-07-24,0009233,KEY_SINGLE_OTHER,008988,2
11887,009734,250.0,2025-07-24,0011170,KEY_SINGLE_OTHER,010867,3
11924,010399,250.0,2025-07-24,0011214,KEY_SINGLE_OTHER,010906,2
