cp_id,reserve,amount,payment_key,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_source,new_source,reason
23476,019072,1015.45,0021791,2025-07-24,2024-12-31,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23532,019076,447.25,0021842,2025-07-24,2025-01-21,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23545,019102,50.0,0021841,2025-07-24,2025-01-21,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23592,019149,500.0,0021905,2025-07-24,2025-02-14,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23710,019257,300.0,0022016,2025-07-24,2025-04-01,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23712,019256,479.7,0022015,2025-07-24,2025-04-01,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23713,019259,420.0,0022019,2025-07-24,2025-04-02,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23715,019272,187.72,0022075,2025-07-24,2025-04-24,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23718,019261,387.45,0022020,2025-07-24,2025-04-02,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23739,019289,774.0,0022057,2025-07-24,2025-04-16,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23745,019284,319.8,0022049,2025-07-24,2025-04-12,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23765,019268,1648.75,0022076,2025-07-24,2025-04-28,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23793,019271,300.0,0022112,2025-07-24,2025-05-06,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23794,019271,110.05,0022113,2025-07-24,2025-05-06,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23798,019303,230.0,0022114,2025-07-24,2025-05-06,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23801,019333,415.13,0022119,2025-07-24,2025-05-07,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23805,019327,500.0,0022099,2025-07-24,2025-05-02,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23840,019329,230.0,0022101,2025-07-24,2025-05-02,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23865,019264,500.0,0022022,2025-07-24,2025-04-03,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23927,019294,300.0,0022060,2025-07-24,2025-04-16,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23929,019318,500.0,0022084,2025-07-24,2025-04-29,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23933,019384,100.0,0022233,2025-07-24,2025-06-15,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23939,019385,253.5,0022245,2025-07-24,2025-06-16,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23960,019328,1076.25,0022100,2025-07-24,2025-05-02,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23964,019462,75.0,0022260,2025-07-24,2025-06-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23975,019103,358.5,0022261,2025-07-24,2025-06-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23977,018768,345.75,0022257,2025-07-24,2025-06-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
23984,019244,1660.5,0022002,2025-07-24,2025-03-26,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24011,019469,300.0,0022276,2025-07-24,2025-06-30,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24034,019367,500.0,0022225,2025-07-24,2025-06-13,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24051,019468,500.0,0022265,2025-07-24,2025-06-24,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24093,019396,415.12,0022348,2025-07-24,2025-07-22,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24117,019488,500.0,0022329,2025-07-24,2025-07-17,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24120,019487,500.0,0022328,2025-07-24,2025-07-17,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24121,019487,400.0,0022349,2025-07-24,2025-07-22,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24126,019464,500.0,0022255,2025-07-24,2025-06-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24134,019301,300.0,0022069,2025-07-24,2025-04-23,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24142,019293,500.0,0022059,2025-07-24,2025-04-16,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24159,019018,500.0,0021685,2025-07-24,2024-11-28,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
24230,019273,500.0,0022035,2025-07-24,2025-04-08,bank_transfer,unknown,charter_reconciliation_report,lms_relink_batch3_same_reserve_20260410,SAME_RESERVE_KEY_AMOUNT_UNIQUE_DATE
