receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,banking_transaction_id,is_matched,receipt_source,classification_bucket,classification_reason
215752,2012-06-09,LIQUOR DEPOT,172.04,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217026,2012-06-09,COOP LIQUOR,45.63,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215513,2012-06-12,LIQUOR BARN,101.96,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215696,2012-06-15,COOP LIQUOR,168.10,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215746,2012-06-15,LIQUOR DEPOT,6.39,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217021,2012-06-15,COOP LIQUOR,5.88,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217029,2012-06-15,COOP LIQUOR,57.67,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
217030,2012-06-15,COOP LIQUOR,66.74,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215359,2012-06-16,LIQUOR BARN,69.58,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215368,2012-06-16,LIQUOR BARN,45.19,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215372,2012-06-16,LIQUOR BARN,33.17,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215374,2012-06-16,LIQUOR BARN,70.65,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215747,2012-06-16,LIQUOR DEPOT,82.17,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215654,2012-06-17,PLAZA LIQUOR TOWN,32.77,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215685,2012-06-17,RED ANGEL LIQUOR STORE,19.98,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215375,2012-06-19,LIQUOR BARN,141.81,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
215714,2012-06-19,LIQUORSTORE,41.49,cash,,False,,,False,,liquor_cash_likely,liquor vendor keyword
