,Date,Transaction Type,#,Name,Memo/Description,Account,Debit,Credit,Balance
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"2,675.25  ","-49,535.75  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"2,517.51  ","-47,018.24  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,206.20  ,"-46,812.04  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,756.00  ,"-46,056.04  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,125.20  ,"-45,930.84  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,450.00  ,"-45,480.84  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,000.00  ","-44,480.84  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,470.00  ","-43,010.84  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"2,429.06  ","-40,581.78  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,145.95  ,"-40,435.83  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,765.82  ,,"-41,201.65  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"4,266.97  ","-36,934.68  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,145.72  ,"-36,788.96  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,181.25  ","-35,607.71  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,792.95  ,"-34,814.76  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,299.99  ,"-34,514.77  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,320.54  ","-33,194.23  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,256.14  ","-31,938.09  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,298.20  ,"-31,639.89  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"5,241.69  ","-26,398.20  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"6,835.12  ","-19,563.08  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,488.75  ,"-19,074.33  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"2,077.45  ","-16,996.88  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"29,442.96  ","12,446.08  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,6.51  ,"12,452.59  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,840.75  ,"13,293.34  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,524.70  ","14,818.04  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,729.75  ,"15,547.79  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"15,167.21  ","30,715.00  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,261.27  ,"30,976.27  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,165.37  ,"31,141.64  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"7,703.77  ","38,845.41  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"6,520.92  ","45,366.33  "
,26/08/2025,Journal Entry,,,,2000 Accounts Payable,,"1,800.00  ","47,166.33  "
Total for 2000 Accounts Payable,,,,,,,"$58,020.39  ","$105,186.72  ",
2300 Capital One Mastercard 9853,,,,,,,,,
,26/08/2025,Journal Entry,,,,2300 Capital One Mastercard 9853,"2,297.04  ",,"-2,297.04  "
,26/08/2025,Journal Entry,,,,2300 Capital One Mastercard 9853,,"2,356.04  ",59.00  
Total for 2300 Capital One Mastercard 9853,,,,,,,"$2,297.04  ","$2,356.04  ",
2310 RBC Visa 9016 - No Rec,,,,,,,,,
,26/08/2025,Journal Entry,,,,2310 RBC Visa 9016 - No Rec,,"16,091.95  ","16,091.95  "
,26/08/2025,Journal Entry,,,,2310 RBC Visa 9016 - No Rec,,"2,325.03  ","18,416.98  "
Total for 2310 RBC Visa 9016 - No Rec,,,,,,,,"$18,416.98  ",
2315 RBC Visa 3187,,,,,,,,,
,26/08/2025,Journal Entry,,,,2315 RBC Visa 3187,,"24,972.39  ","24,972.39  "
Total for 2315 RBC Visa 3187,,,,,,,,"$24,972.39  ",
2320 Canadian Tire MC 0151,,,,,,,,,
,26/08/2025,Journal Entry,,,,2320 Canadian Tire MC 0151,,"14,924.99  ","14,924.99  "
Total for 2320 Canadian Tire MC 0151,,,,,,,,"$14,924.99  ",
2001 YE AP,,,,,,,,,
,26/08/2025,Journal Entry,,,,2001 YE AP,,"35,003.62  ","35,003.62  "
Total for 2001 YE AP,,,,,,,,"$35,003.62  ",
2025 Interest Payable,,,,,,,,,
,26/08/2025,Journal Entry,,,,2025 Interest Payable,,"9,923.08  ","9,923.08  "
Total for 2025 Interest Payable,,,,,,,,"$9,923.08  ",
2100 Payroll Liabilities,,,,,,,,,
,26/08/2025,Journal Entry,,,,2100 Payroll Liabilities,,"142,293.03  ","142,293.03  "
Total for 2100 Payroll Liabilities,,,,,,,,"$142,293.03  ",
2200 GST/HST Payable,,,,,,,,,
,26/08/2025,Journal Entry,,,,2200 GST/HST Payable,"21,934.89  ",,"-21,934.89  "
,26/08/2025,Journal Entry,,,,2200 GST/HST Payable,,"89,230.16  ","67,295.27  "
Total for 2200 GST/HST Payable,,,,,,,"$21,934.89  ","$89,230.16  ",
2205 GST Remits,,,,,,,,,
,26/08/2025,Journal Entry,,,,2205 GST Remits,"7,681.02  ",,"-7,681.02  "
Total for 2205 GST Remits,,,,,,,"$7,681.02  ",,
2400 Prepaid Deposits,,,,,,,,,
,26/08/2025,Journal Entry,,,,2400 Prepaid Deposits,"17,520.75  ",,"-17,520.75  "
Total for 2400 Prepaid Deposits,,,,,,,"$17,520.75  ",,
2501 Leases and Loans,,,,,,,,,
   25011 L1 - Mercedes,,,,,,,,,
,26/08/2025,Journal Entry,,,,25011 Leases and Loans:L1 - Mercedes,"19,044.39  ",,"-19,044.39  "
   Total for 25011 L1 - Mercedes,,,,,,,"$19,044.39  ",   ,
   250111 2014 Lincon,,,,,,,,,
,26/08/2025,Journal Entry,,,,250111 Leases and Loans:2014 Lincon,"2,143.24  ",,"-2,143.24  "
   Total for 250111 2014 Lincon,,,,,,,"$2,143.24  ",   ,
   2506 L-14 2010 Ford E450 Limo Bus,,,,,,,,,
,26/08/2025,Journal Entry,,,,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,"62,098.49  ",,"-62,098.49  "
   Total for 2506 L-14 2010 Ford E450 Limo Bus,,,,,,,"$62,098.49  ",   ,
   2507 L-15 2012 E350 Limo Bus,,,,,,,,,
,26/08/2025,Journal Entry,,,,2507 Leases and Loans:L-15 2012 E350 Limo Bus,"67,597.85  ",,"-67,597.85  "
   Total for 2507 L-15 2012 E350 Limo Bus,,,,,,,"$67,597.85  ",   ,
   2508 L4 2007 Lincon Town Car,,,,,,,,,
,26/08/2025,Journal Entry,,,,2508 Leases and Loans:L4 2007 Lincon Town Car,"12,348.60  ",,"-12,348.60  "
   Total for 2508 L4 2007 Lincon Town Car,,,,,,,"$12,348.60  ",   ,
   2509 L17 - Bus,,,,,,,,,
,26/08/2025,Journal Entry,,,,2509 Leases and Loans:L17 - Bus,"2,490.00  ",,"-2,490.00  "
   Total for 2509 L17 - Bus,,,,,,,"$2,490.00  ",   ,
Total for 2501 Leases and Loans,,,,,,,"$165,722.57  ",,
2600 Heffner (503.57),,,,,,,,,
,26/08/2025,Journal Entry,,,,2600 Heffner (503.57),"51,364.14  ",,"-51,364.14  "
Total for 2600 Heffner (503.57),,,,,,,"$51,364.14  ",,
2611 Woodridge Ford (752.56),,,,,,,,,
,26/08/2025,Journal Entry,,,,2611 Woodridge Ford (752.56),"12,046.96  ",,"-12,046.96  "
Total for 2611 Woodridge Ford (752.56),,,,,,,"$12,046.96  ",,
2612 Woodridge Ford (1183.14),,,,,,,,,
,26/08/2025,Journal Entry,,,,2612 Woodridge Ford (1183.14),"29,578.50  ",,"-29,578.50  "
Total for 2612 Woodridge Ford (1183.14),,,,,,,"$29,578.50  ",,
2800 L-8 2008 Ford Expedition,,,,,,,,,
,26/08/2025,Journal Entry,,,,2800 L-8 2008 Ford Expedition,,"5,919.38  ","5,919.38  "
Total for 2800 L-8 2008 Ford Expedition,,,,,,,,"$5,919.38  ",
2801 L-9 2007 LIncoln Town Car,,,,,,,,,
,26/08/2025,Journal Entry,,,,2801 L-9 2007 LIncoln Town Car,,"23,125.31  ","23,125.31  "
Total for 2801 L-9 2007 LIncoln Town Car,,,,,,,,"$23,125.31  ",
2802 L-10 2010 Ford E450 Bus,,,,,,,,,
,26/08/2025,Journal Entry,,,,2802 L-10 2010 Ford E450 Bus,,"54,480.19  ","54,480.19  "
Total for 2802 L-10 2010 Ford E450 Bus,,,,,,,,"$54,480.19  ",
2803 L-11 2009 Ford E-450 Shuttle,,,,,,,,,
,26/08/2025,Journal Entry,,,,2803 L-11 2009 Ford E-450 Shuttle,,"54,235.98  ","54,235.98  "
Total for 2803 L-11 2009 Ford E-450 Shuttle,,,,,,,,"$54,235.98  ",
2813 Cap Lease 03 Ford Excurs 799.03,,,,,,,,,
,26/08/2025,Journal Entry,,,,2813 Cap Lease 03 Ford Excurs 799.03,,"12,585.30  ","12,585.30  "
Total for 2813 Cap Lease 03 Ford Excurs 799.03,,,,,,,,"$12,585.30  ",
2900 Shareholder Loan,,,,,,,,,
,26/08/2025,Journal Entry,,,,2900 Shareholder Loan,,"528,694.07  ","528,694.07  "
Total for 2900 Shareholder Loan,,,,,,,,"$528,694.07  ",
3100 Capital Stock,,,,,,,,,
,26/08/2025,Journal Entry,,,,3100 Capital Stock,,100.00  ,100.00  
Total for 3100 Capital Stock,,,,,,,,$100.00  ,
3600 Retained Earnings,,,,,,,,,
,26/08/2025,Journal Entry,,,,3600 Retained Earnings,"331,995.48  ",,"-331,995.48  "
Total for 3600 Retained Earnings,,,,,,,"$331,995.48  ",,
4000 Limousine Service Income,,,,,,,,,
,26/08/2025,Journal Entry,,,,4000 Limousine Service Income,,"3,359,784.10  ","3,359,784.10  "
Total for 4000 Limousine Service Income,,,,,,,,"$3,359,784.10  ",
4100 Fuel Surcharge,,,,,,,,,
,26/08/2025,Journal Entry,,,,4100 Fuel Surcharge,,"65,386.75  ","65,386.75  "
Total for 4100 Fuel Surcharge,,,,,,,,"$65,386.75  ",
4200 Other Charges,,,,,,,,,
,26/08/2025,Journal Entry,,,,4200 Other Charges,,"51,441.41  ","51,441.41  "
Total for 4200 Other Charges,,,,,,,,"$51,441.41  ",
4300 Gratuity Income,,,,,,,,,
,26/08/2025,Journal Entry,,,,4300 Gratuity Income,,"235,881.85  ","235,881.85  "
Total for 4300 Gratuity Income,,,,,,,,"$235,881.85  ",
4800 Other Income,,,,,,,,,
,26/08/2025,Journal Entry,,,,4800 Other Income,,"2,681.55  ","2,681.55  "
Total for 4800 Other Income,,,,,,,,"$2,681.55  ",
6000 Advertising,,,,,,,,,
,26/08/2025,Journal Entry,,,,6000 Advertising,"136,439.65  ",,"136,439.65  "
,26/08/2025,Journal Entry,,,,6000 Advertising,"59,890.17  ",,"196,329.82  "
Total for 6000 Advertising,,,,,,,"$196,329.82  ",,
6005 Donations,,,,,,,,,
,26/08/2025,Journal Entry,,,,6005 Donations,"4,896.24  ",,"4,896.24  "
,26/08/2025,Journal Entry,,,,6005 Donations,"1,300.00  ",,"6,196.24  "
Total for 6005 Donations,,,,,,,"$6,196.24  ",,
6010 Trade Shows,,,,,,,,,
,26/08/2025,Journal Entry,,,,6010 Trade Shows,"2,647.13  ",,"2,647.13  "
Total for 6010 Trade Shows,,,,,,,"$2,647.13  ",,
6050 Depreciation,,,,,,,,,
,26/08/2025,Journal Entry,,,,6050 Depreciation,"76,188.68  ",,"76,188.68  "
Total for 6050 Depreciation,,,,,,,"$76,188.68  ",,
6100 Bank Charges & Interest,,,,,,,,,
,26/08/2025,Journal Entry,,,,6100 Bank Charges & Interest,"3,759.77  ",,"3,759.77  "
,26/08/2025,Journal Entry,,,,6100 Bank Charges & Interest,"48,788.91  ",,"52,548.68  "
Total for 6100 Bank Charges & Interest,,,,,,,"$52,548.68  ",,
6101 Interest & Late Chgs Expense,,,,,,,,,
,26/08/2025,Journal Entry,,,,6101 Interest & Late Chgs Expense,25.00  ,,25.00  
,26/08/2025,Journal Entry,,,,6101 Interest & Late Chgs Expense,"1,797.67  ",,"1,822.67  "
Total for 6101 Interest & Late Chgs Expense,,,,,,,"$1,822.67  ",,
6110 Credit Card Charges,,,,,,,,,
,26/08/2025,Journal Entry,,,,6110 Credit Card Charges,"66,978.87  ",,"66,978.87  "
Total for 6110 Credit Card Charges,,,,,,,"$66,978.87  ",,
6200 Courier & Freight,,,,,,,,,
,26/08/2025,Journal Entry,,,,6200 Courier & Freight,390.03  ,,390.03  
,26/08/2025,Journal Entry,,,,6200 Courier & Freight,"1,028.64  ",,"1,418.67  "
Total for 6200 Courier & Freight,,,,,,,"$1,418.67  ",,
6225 Training & Recruiting,,,,,,,,,
,26/08/2025,Journal Entry,,,,6225 Training & Recruiting,89.10  ,,89.10  
Total for 6225 Training & Recruiting,,,,,,,$89.10  ,,
6300 Equipment Rental,,,,,,,,,
,26/08/2025,Journal Entry,,,,6300 Equipment Rental,"33,996.97  ",,"33,996.97  "
Total for 6300 Equipment Rental,,,,,,,"$33,996.97  ",,
6340 Administration,,,,,,,,,
,26/08/2025,Journal Entry,,,,6340 Administration,"1,220.00  ",,"1,220.00  "
Total for 6340 Administration,,,,,,,"$1,220.00  ",,
6350 Equipment Repairs,,,,,,,,,
,26/08/2025,Journal Entry,,,,6350 Equipment Repairs,54.00  ,,54.00  
,26/08/2025,Journal Entry,,,,6350 Equipment Repairs,"1,924.42  ",,"1,978.42  "
Total for 6350 Equipment Repairs,,,,,,,"$1,978.42  ",,
6400 Insurance,,,,,,,,,
,26/08/2025,Journal Entry,,,,6400 Insurance,"229,283.98  ",,"229,283.98  "
Total for 6400 Insurance,,,,,,,"$229,283.98  ",,
6450 Interest on LTD,,,,,,,,,
,26/08/2025,Journal Entry,,,,6450 Interest on LTD,"11,910.81  ",,"11,910.81  "
Total for 6450 Interest on LTD,,,,,,,"$11,910.81  ",,
6475 Licenses & Permits,,,,,,,,,
,26/08/2025,Journal Entry,,,,6475 Licenses & Permits,"2,476.85  ",,"2,476.85  "
,26/08/2025,Journal Entry,,,,6475 Licenses & Permits,"12,077.96  ",,"14,554.81  "
Total for 6475 Licenses & Permits,,,,,,,"$14,554.81  ",,
6476 Registrations,,,,,,,,,
,26/08/2025,Journal Entry,,,,6476 Registrations,"17,886.04  ",,"17,886.04  "
