TABLE USAGE AUDIT
==========================================================================================
timestamp=2026-04-30T18:33:32.971965
public_table_count=295
archived_table_count=31
archive_candidate_count=240
archive_candidate_total_mb=60.542

Archive candidates (public):
  payroll_adjustments | class=ARCHIVE_CANDIDATE_UNUSED | rows~4 | size_mb=0.078 | inbound_fk=0 | code_hits=0
  verification_queue | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.078 | inbound_fk=0 | code_hits=0
  security_events | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.078 | inbound_fk=0 | code_hits=0
  suppliers | class=ARCHIVE_CANDIDATE_UNUSED | rows~784 | size_mb=0.07 | inbound_fk=0 | code_hits=0
  alcohol_business_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~105 | size_mb=0.07 | inbound_fk=0 | code_hits=0
  accounting_records | class=ARCHIVE_CANDIDATE_UNUSED | rows~100 | size_mb=0.07 | inbound_fk=0 | code_hits=0
  charge_catalog | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.07 | inbound_fk=0 | code_hits=0
  payment_customer_links | class=ARCHIVE_CANDIDATE_UNUSED | rows~172 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  driver_alias_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~131 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  charter_payments_orphans_deleted | class=ARCHIVE_CANDIDATE_UNUSED | rows~118 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  receipt_gl_splits | class=ARCHIVE_CANDIDATE_UNUSED | rows~110 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  missing_receipt_tracking | class=ARCHIVE_CANDIDATE_UNUSED | rows~51 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  vendor_default_categories | class=ARCHIVE_CANDIDATE_UNUSED | rows~24 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  tax_year_reference | class=ARCHIVE_CANDIDATE_UNUSED | rows~19 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  business_losses | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  major_events | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  route_event_types | class=ARCHIVE_CANDIDATE_UNUSED | rows~10 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  bank_accounts | class=ARCHIVE_CANDIDATE_UNUSED | rows~4 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  financing_sources | class=ARCHIVE_CANDIDATE_UNUSED | rows~4 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  documents | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.062 | inbound_fk=0 | code_hits=0
